,author,title,datepublished,isbn13,Title,Author,PublishedDate,ISBN13
3014,,,,,Strokes of Midnight,['Hope Tarr'],2007,9780373793686
3015,,,,,Vanquished,['Hope Tarr'],2006,9781605425160
3016,,,,,It's a Wonderfully Sexy Life,['Hope Tarr'],2006,9780373792979
3017,,,,,Sugar,"['Jenna Jameson', 'Hope Tarr']",2015,9781458798626
3018,,,,,The Haunting,['Hope Tarr'],2007,9780373793211
3019,,,,,Enslaved,['Hope Tarr'],2007,9781605428642
3020,,,,,Suddenly Cinderella Bundle,['Hope Tarr'],2014,9781622664580
3021,,,,,Honey,"['Jenna Jameson', 'Hope Tarr']",2014,9781628737134
3022,,,,,Operation Cinderella,['Hope Tarr'],2012,9781622669837
3023,,,,,The Tutor,['Hope Tarr'],2010,9780373795567
3024,,,,,Winter Trees,['Carole Gerber'],2018,9781684446513
3025,,,,,How You Came to Be,['Carole Gerber'],2022,9780593225738
3026,,,,,"Annie Jump Cannon, Astronomer",['Carole Gerber'],2011,9781589809116
3027,,,,,Tuck-in Time,['Carole Gerber'],2014,9781466875401
3028,,,,,P Is for Purr,['Carole Gerber'],2022,9781641707886
3029,,,,,A Tree for Me,['Carole Gerber'],2024,9781641708203
3030,,,,,Leaf Jumpers,['Carole Gerber'],2018,9781684446674
3031,,,,,Spring Blossoms,['Carole Gerber'],2018,9781684446872
3032,,,,,10 Busy Brooms,['Carole Gerber'],2018,9781524768997
3033,,,,,The Gifts of the Animals,['Carole Gerber'],2019,9781641702058
3034,,,,,The Half Brother,['Holly LeCraw'],2015,9780385531962
3035,,,,,The Half Brother,['Holly LeCraw'],2016,9780307474452
3036,,,,,The Swimming Pool,['Holly LeCraw'],2011,9780385667920
3037,,,,,The Swimming Pool,['Holly LeCraw'],2011,9780307474445
3038,,,,,He pisina :mythistorema /Holly LeCraw,['Holly LeCraw'],2011,9789601638188
3039,,,,,Swimmingpool,['Holly LeCraw'],2011,9783570100226
3040,,,,,The Swimming Pool,['Holly LeCraw'],2010,9780385531948
3041,,,,,Rapture,['Lauren Kate'],2014,9780385739191
3042,,,,,Torment,['Lauren Kate'],2011,9780385739153
3043,,,,,Fallen,['Lauren Kate'],2010,9780385739139
3044,,,,,The Fallen Series Boxed Set,['Lauren Kate'],2012,9780307979452
3045,,,,,Waterfall,['Lauren Kate'],2015,9780385742689
3046,,,,,Fallen in Love,['Lauren Kate'],2012,9780307976291
3047,,,,,Passion,['Lauren Kate'],2012,9780552561792
3048,,,,,Passion,['Lauren Kate'],2012,9780385739177
3049,,,,,By Any Other Name,['Lauren Kate'],2022,9780735212541
3050,,,,,One True Wish,['Lauren Kate'],2023,9781665910569
3051,,,,,Lauren Kate: Fallen & Torment,['Lauren Kate'],2012,9781448121540
3052,,,,,Unforgiven,['Lauren Kate'],2016,9780385742641
3053,,,,,The Orphan's Song,['Lauren Kate'],2021,9780735212589
3054,,,,,Fallen: Angels in the Dark,['Lauren Kate'],2013,9780385388054
3055,,,,,The Fallen Series: 4-Book Collection,['Lauren Kate'],2013,9780385384612
3056,,,,,Princess,['Lauren Kate'],2011,9788858620052
3057,,,,,FALLEN.,['KATE. LAUREN'],2009,9780307706454
3058,,,,,The Betrayal of Natalie Hargrove,['Lauren Kate'],2011,9781101546178
3059,,,,,Last Day of Love: A Teardrop Story,['Lauren Kate'],2013,9780449817841
3060,,,,,The Between,['David Hofmeyr'],2020,9780385744751
3061,,,,,Stone Rider,['David Hofmeyr'],2015,9780385391337
3062,,,,,Outsider: A Stone Rider story,['David Hofmeyr'],2019,9780141354521
3063,,,,,Stone Rider,['David Hofmeyr'],2016,9783423430241
3064,,,,,Progress Through School and the Determinants of School Dropout in South Africa,"['Nicola Branson', 'Clare Hofmeyr', 'David Lam', 'University of Cape Town. Southern Africa Labour and Development Research Unit']",2013,9781920517410
3065,,,,,Dark Inside,['Jeyn Roberts'],2011,9781442423510
3066,,,,,Rage Within,['Jeyn Roberts'],2012,9781442423541
3067,,,,,When They Fade,['Jeyn Roberts'],2016,9780385754156
3068,,,,,The Bodies We Wear,['Jeyn Roberts'],2016,9780385754095
3069,,,,,Wendigo,['Jeyn Roberts'],2017,9781979707404
3070,,,,,New Teen Voices,"['Jeyn Roberts', 'Elizabeth Miles', 'Michelle Hodkin', 'Jessica Martinez', 'Lena Coakley', 'Emma Carlson Berne']",2011,9781442449985
