,isbn13,datepublished,totalrevenue,totalunits,price
43378,9781776093755.0,2009-04-01,27176,24,1099.0
43379,9781776093755.0,2019-04-01,4003670,3104,1290.7803278688525
43380,9781776094363.0,2019-08-01,50690,49,1040.6559139784947
43381,9781776094387.0,2019-07-01,60636,91,680.8255813953489
43382,9781776094523.0,2019-08-01,144212,343,415.0777777777778
43383,9781779500014.0,2019-10-01,25300,17,1306.7333333333333
43384,9781779500588.0,2019-04-09,3562369,2898,1376.1769547325102
43385,9781779500625.0,2019-04-16,330506,293,1369.0765957446808
43386,9781779501035.0,2019-05-07,46994,41,1145.8288288288288
43387,9781779501066.0,2019-05-07,267624,256,1262.691699604743
43388,9781779501080.0,2019-05-14,54777,41,1450.7816091954023
43389,9781779501592.0,2019-09-17,356355,302,1118.3357664233577
43390,9781779501615.0,2019-12-24,217017,166,1200.107142857143
43391,9781779501806.0,2019-06-18,43492,33,1504.3513513513512
43392,9781779501813.0,2019-06-18,200685,261,975.1391304347826
43393,9781779501820.0,2019-06-18,127893,153,1033.3218390804598
43394,9781779501837.0,2019-06-18,29592749,33180,1292.337606837607
43395,9781779501837.0,2019-06-25,0,0,2235.6666666666665
43396,9781779502025.0,2019-06-25,8897,7,1271.0
43397,9781779502025.0,2019-07-09,172800,197,1079.994011976048
43398,9781779502032.0,2019-06-25,2544106,2471,939.7345132743363
43399,9781779502124.0,2019-07-16,25875,18,1242.8379888268157
43400,9781779502124.0,2019-07-23,0,0,1979.0
43401,9781779502131.0,2019-07-16,312011,250,1456.3641025641025
43402,9781779502131.0,2019-07-23,0,0,2499.0
