,Author,Title,PublishedDate,ISBN13
17456,['Tom Kemper'],The Monkees,2023,9781789147070
17457,"['Chaf Brand', 'Tom Pratt']",Awaiting the City,2012,9780825488559
17458,['Tom Nettles'],Ready for Reformation?,2005,9781433674662
17459,['Chad Brand'],Perspectives on Israel and the Church,2015,9781433674044
17460,"['Fender Tucker', 'Dan Stumpf', 'William Poundstone', 'Tom Stewart', 'Ed Park', 'Ken Keeler', 'Jim Weiler', 'Francis M. Nevins', 'Dennis Duncan', ""Gavin O'Keefe""]",Fakealoo!,2009,9781605432014
17461,['Tom w. Boyce'],L'orchidée et le pissenlit,2020,9782749945026
17462,"['Tom J. Nettles', 'Sylvia Nettles Dickson']",A Commentary on Galatians,2021,9781952599408
17463,['Tom Bower'],Rebel King,2023,9781504084765
17464,"['Chad Brand', 'Tom Pratt']",Clash of Titans,2012,9781480081741
17465,['Tom Gillespie'],Painting by Numbers,2013,9781908910370
17466,['Tom McLaughlin'],The Day That Aliens (Nearly) Ate Our Brains,2018,9781406375794
17467,['Tom McLaughlin'],The Day that Aliens Nearly at Our Brains,2018,9781406378818
17468,"['Marie A. Chisholm-Burns', 'Terry L. Schwinghammer', 'Patrick M. Malone', 'Jill M. Kolesar', 'Kelly C Lee', 'P. Brandon Bookstaver']","Pharmacotherapy Principles and Practice, Sixth Edition",2022,9781260460285
